年度,縣市,就業人口數_千人
2017.0,南投縣,17.57
2018.0,南投縣,18.53
2019.0,南投縣,18.62
2020.0,南投縣,19.07
2021.0,南投縣,18.32
2022.0,南投縣,18.47
2023.0,南投縣,16.51
2024.0,南投縣,17.4
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
,南投縣,
2016.0,雲林縣,343.0
2017.0,雲林縣,346.0
2018.0,雲林縣,349.0
2019.0,雲林縣,345.0
2020.0,雲林縣,339.0
2021.0,雲林縣,337.0
2022.0,雲林縣,340.0
2023.0,雲林縣,333.0
2024.0,雲林縣,332.0
,雲林縣,
2016.0,雲林縣,33.53
2017.0,雲林縣,31.62
2018.0,雲林縣,32.3
2019.0,雲林縣,34.46
2020.0,雲林縣,34.91
2021.0,雲林縣,34.5
2022.0,雲林縣,32.94
2023.0,雲林縣,33.1
2024.0,雲林縣,32.84
,雲林縣,
2016.0,雲林縣,46.34
2017.0,雲林縣,48.68
2018.0,雲林縣,47.64
2019.0,雲林縣,45.9
2020.0,雲林縣,45.84
2021.0,雲林縣,45.09
2022.0,雲林縣,45.93
2023.0,雲林縣,47.02
2024.0,雲林縣,47.73
,雲林縣,
2016.0,雲林縣,20.13
2017.0,雲林縣,19.7
2018.0,雲林縣,20.06
2019.0,雲林縣,19.64
2020.0,雲林縣,19.25
2021.0,雲林縣,20.41
2022.0,雲林縣,21.12
2023.0,雲林縣,19.88
2024.0,雲林縣,19.43
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
,雲林縣,
2016.0,嘉義縣,262.0
2017.0,嘉義縣,267.0
2018.0,嘉義縣,265.0
2019.0,嘉義縣,264.0
2020.0,嘉義縣,256.0
2021.0,嘉義縣,253.0
2022.0,嘉義縣,257.0
2023.0,嘉義縣,250.0
2024.0,嘉義縣,249.0
,嘉義縣,
2016.0,嘉義縣,31.33
2017.0,嘉義縣,32.36
2018.0,嘉義縣,31.81
2019.0,嘉義縣,32.61
2020.0,嘉義縣,32.58
2021.0,嘉義縣,30.73
2022.0,嘉義縣,32.8
2023.0,嘉義縣,32.13
2024.0,嘉義縣,31.34
,嘉義縣,
2016.0,嘉義縣,44.74
2017.0,嘉義縣,45.68
2018.0,嘉義縣,45.61
2019.0,嘉義縣,45.94
2020.0,嘉義縣,45.37
2021.0,嘉義縣,46.37
2022.0,嘉義縣,46.16
2023.0,嘉義縣,47.44
2024.0,嘉義縣,47.27
,嘉義縣,
2016.0,嘉義縣,23.93
2017.0,嘉義縣,21.96
2018.0,嘉義縣,22.57
2019.0,嘉義縣,21.45
2020.0,嘉義縣,22.05
2021.0,嘉義縣,22.9
2022.0,嘉義縣,21.04
2023.0,嘉義縣,20.43
2024.0,嘉義縣,21.39
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
,嘉義縣,
2016.0,屏東縣,406.0
2017.0,屏東縣,413.0
2018.0,屏東縣,423.0
2019.0,屏東縣,427.0
2020.0,屏東縣,419.0
2021.0,屏東縣,405.0
2022.0,屏東縣,402.0
2023.0,屏東縣,404.0
2024.0,屏東縣,405.0
,屏東縣,
2016.0,屏東縣,31.95
2017.0,屏東縣,32.07
2018.0,屏東縣,31.27
2019.0,屏東縣,31.32
2020.0,屏東縣,32.1
2021.0,屏東縣,31.59
2022.0,屏東縣,30.74
2023.0,屏東縣,31.15
2024.0,屏東縣,29.93
,屏東縣,
2016.0,屏東縣,52.65
2017.0,屏東縣,51.35
2018.0,屏東縣,52.26
2019.0,屏東縣,51.37
2020.0,屏東縣,51.53
2021.0,屏東縣,52.78
2022.0,屏東縣,53.57
2023.0,屏東縣,53.92
2024.0,屏東縣,55.43
,屏東縣,
2016.0,屏東縣,15.4
2017.0,屏東縣,16.59
2018.0,屏東縣,16.47
2019.0,屏東縣,17.31
2020.0,屏東縣,16.37
2021.0,屏東縣,15.63
2022.0,屏東縣,15.69
2023.0,屏東縣,14.93
2024.0,屏東縣,14.63
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
,屏東縣,
2016.0,臺東縣,105.0
2017.0,臺東縣,106.0
2018.0,臺東縣,107.0
2019.0,臺東縣,107.0
2020.0,臺東縣,104.0
2021.0,臺東縣,103.0
2022.0,臺東縣,102.0
2023.0,臺東縣,105.0
2024.0,臺東縣,104.0
,臺東縣,
2016.0,臺東縣,21.09
2017.0,臺東縣,20.57
2018.0,臺東縣,19.16
2019.0,臺東縣,18.34
2020.0,臺東縣,18.24
2021.0,臺東縣,17.66
2022.0,臺東縣,16.61
2023.0,臺東縣,18.06
2024.0,臺東縣,18.37
,臺東縣,
2016.0,臺東縣,59.16
2017.0,臺東縣,61.03
2018.0,臺東縣,62.39
2019.0,臺東縣,62.89
2020.0,臺東縣,61.6
2021.0,臺東縣,62.09
2022.0,臺東縣,63.29
2023.0,臺東縣,66.48
2024.0,臺東縣,64.85
,臺東縣,
2016.0,臺東縣,19.75
2017.0,臺東縣,18.41
2018.0,臺東縣,18.46
2019.0,臺東縣,18.77
2020.0,臺東縣,20.15
2021.0,臺東縣,20.25
2022.0,臺東縣,20.11
2023.0,臺東縣,15.46
2024.0,臺東縣,16.78
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
,臺東縣,
2016.0,花蓮縣,151.0
2017.0,花蓮縣,150.0
2018.0,花蓮縣,150.0
2019.0,花蓮縣,152.0
2020.0,花蓮縣,150.0
2021.0,花蓮縣,147.0
2022.0,花蓮縣,150.0
2023.0,花蓮縣,153.0
2024.0,花蓮縣,153.0
,花蓮縣,
2016.0,花蓮縣,23.83
2017.0,花蓮縣,22.49
2018.0,花蓮縣,22.37
2019.0,花蓮縣,23.74
2020.0,花蓮縣,23.74
2021.0,花蓮縣,21.82
2022.0,花蓮縣,21.68
2023.0,花蓮縣,22.07
2024.0,花蓮縣,21.98
,花蓮縣,
2016.0,花蓮縣,69.18
2017.0,花蓮縣,68.75
2018.0,花蓮縣,69.31
2019.0,花蓮縣,68.43
2020.0,花蓮縣,69.34
2021.0,花蓮縣,72.51
2022.0,花蓮縣,71.37
2023.0,花蓮縣,69.48
2024.0,花蓮縣,68.99
,花蓮縣,
2016.0,花蓮縣,6.99
2017.0,花蓮縣,8.76
2018.0,花蓮縣,8.32
2019.0,花蓮縣,7.83
2020.0,花蓮縣,6.92
2021.0,花蓮縣,5.67
2022.0,花蓮縣,6.95
2023.0,花蓮縣,8.45
2024.0,花蓮縣,9.02
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
,花蓮縣,
2016.0,澎湖縣,44.0
2017.0,澎湖縣,44.0
2018.0,澎湖縣,44.0
2019.0,澎湖縣,44.0
2020.0,澎湖縣,44.0
2021.0,澎湖縣,45.0
2022.0,澎湖縣,48.0
2023.0,澎湖縣,49.0
2024.0,澎湖縣,48.0
,澎湖縣,
2016.0,澎湖縣,21.6
2017.0,澎湖縣,23.33
2018.0,澎湖縣,23.3
2019.0,澎湖縣,21.35
2020.0,澎湖縣,21.46
2021.0,澎湖縣,22.76
2022.0,澎湖縣,23.92
2023.0,澎湖縣,24.92
2024.0,澎湖縣,23.6
,澎湖縣,
2016.0,澎湖縣,70.77
2017.0,澎湖縣,71.66
2018.0,澎湖縣,71.09
2019.0,澎湖縣,71.22
2020.0,澎湖縣,71.42
2021.0,澎湖縣,70.27
2022.0,澎湖縣,69.6
2023.0,澎湖縣,68.86
2024.0,澎湖縣,70.32
,澎湖縣,
2016.0,澎湖縣,7.63
2017.0,澎湖縣,5.01
2018.0,澎湖縣,5.61
2019.0,澎湖縣,7.43
2020.0,澎湖縣,7.12
2021.0,澎湖縣,6.97
2022.0,澎湖縣,6.48
2023.0,澎湖縣,6.22
2024.0,澎湖縣,6.07
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
,澎湖縣,
2016.0,基隆市,179.0
2017.0,基隆市,178.0
2018.0,基隆市,179.0
2019.0,基隆市,181.0
2020.0,基隆市,179.0
2021.0,基隆市,173.0
2022.0,基隆市,175.0
2023.0,基隆市,176.0
2024.0,基隆市,176.0
,基隆市,
2016.0,基隆市,29.69
2017.0,基隆市,29.57
2018.0,基隆市,27.77
2019.0,基隆市,27.43
2020.0,基隆市,28.28
2021.0,基隆市,29.34
2022.0,基隆市,30.3
2023.0,基隆市,27.23
2024.0,基隆市,26.12
,基隆市,
2016.0,基隆市,69.97
2017.0,基隆市,70.04
2018.0,基隆市,71.62
2019.0,基隆市,71.73
2020.0,基隆市,71.34
2021.0,基隆市,70.26
2022.0,基隆市,69.15
2023.0,基隆市,72.23
2024.0,基隆市,73.25
,基隆市,
2016.0,基隆市,0.34
2017.0,基隆市,0.39
2018.0,基隆市,0.61
2019.0,基隆市,0.84
2020.0,基隆市,0.38
2021.0,基隆市,0.39
2022.0,基隆市,0.55
2023.0,基隆市,0.54
2024.0,基隆市,0.62
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
,基隆市,
2016.0,新竹市,206.0
2017.0,新竹市,208.0
2018.0,新竹市,206.0
2019.0,新竹市,208.0
2020.0,新竹市,208.0
2021.0,新竹市,211.0
2022.0,新竹市,213.0
2023.0,新竹市,216.0
2024.0,新竹市,218.0
,新竹市,
2016.0,新竹市,42.4
2017.0,新竹市,42.94
2018.0,新竹市,44.78
2019.0,新竹市,43.97
2020.0,新竹市,41.88
2021.0,新竹市,42.63
2022.0,新竹市,45.69
2023.0,新竹市,43.9
2024.0,新竹市,43.23
,新竹市,
2016.0,新竹市,57.04
2017.0,新竹市,56.74
2018.0,新竹市,54.92
2019.0,新竹市,55.42
2020.0,新竹市,57.64
2021.0,新竹市,56.9
2022.0,新竹市,54.01
2023.0,新竹市,55.89
2024.0,新竹市,56.51
,新竹市,
2016.0,新竹市,0.56
2017.0,新竹市,0.32
2018.0,新竹市,0.3
2019.0,新竹市,0.61
2020.0,新竹市,0.48
2021.0,新竹市,0.47
2022.0,新竹市,0.3
2023.0,新竹市,0.21
2024.0,新竹市,0.26
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
,新竹市,
2016.0,嘉義市,127.0
2017.0,嘉義市,129.0
2018.0,嘉義市,130.0
2019.0,嘉義市,131.0
2020.0,嘉義市,133.0
2021.0,嘉義市,122.0
2022.0,嘉義市,122.0
2023.0,嘉義市,123.0
2024.0,嘉義市,125.0
,嘉義市,
2016.0,嘉義市,27.84
2017.0,嘉義市,25.34
2018.0,嘉義市,26.46
2019.0,嘉義市,26.77
2020.0,嘉義市,26.33
2021.0,嘉義市,29.02
2022.0,嘉義市,28.56
2023.0,嘉義市,27.17
2024.0,嘉義市,26.66
,嘉義市,
2016.0,嘉義市,70.23
2017.0,嘉義市,72.76
2018.0,嘉義市,72.0
2019.0,嘉義市,71.11
2020.0,嘉義市,71.46
2021.0,嘉義市,69.23
2022.0,嘉義市,69.67
2023.0,嘉義市,70.93
2024.0,嘉義市,71.51
,嘉義市,
2016.0,嘉義市,1.93
2017.0,嘉義市,1.9
2018.0,嘉義市,1.55
2019.0,嘉義市,2.11
2020.0,嘉義市,2.2
2021.0,嘉義市,1.75
2022.0,嘉義市,1.77
2023.0,嘉義市,1.9
2024.0,嘉義市,1.83
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
,嘉義市,
2016.0,金門縣,24.0
2017.0,金門縣,25.0
2018.0,金門縣,26.0
2019.0,金門縣,28.0
2020.0,金門縣,28.0
2021.0,金門縣,28.0
2022.0,金門縣,30.0
2023.0,金門縣,30.0
2024.0,金門縣,31.0
,金門縣,
2016.0,金門縣,24.71
2017.0,金門縣,25.22
2018.0,金門縣,23.12
2019.0,金門縣,24.08
2020.0,金門縣,26.9
2021.0,金門縣,23.87
2022.0,金門縣,24.55
2023.0,金門縣,24.43
2024.0,金門縣,25.42
,金門縣,
2016.0,金門縣,71.58
2017.0,金門縣,70.56
2018.0,金門縣,72.63
2019.0,金門縣,72.42
2020.0,金門縣,70.1
2021.0,金門縣,73.31
2022.0,金門縣,72.3
2023.0,金門縣,73.11
2024.0,金門縣,72.12
,金門縣,
2016.0,金門縣,3.72
2017.0,金門縣,4.22
2018.0,金門縣,4.25
2019.0,金門縣,3.51
2020.0,金門縣,2.99
2021.0,金門縣,2.82
2022.0,金門縣,3.15
2023.0,金門縣,2.46
2024.0,金門縣,2.46
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
,金門縣,
2016.0,連江縣,3.0
2017.0,連江縣,3.0
2018.0,連江縣,3.0
2019.0,連江縣,3.0
2020.0,連江縣,4.0
2021.0,連江縣,4.0
2022.0,連江縣,4.0
2023.0,連江縣,4.0
2024.0,連江縣,4.0
,連江縣,
2016.0,連江縣,18.17
2017.0,連江縣,19.78
2018.0,連江縣,20.0
2019.0,連江縣,19.37
2020.0,連江縣,20.7
2021.0,連江縣,18.12
2022.0,連江縣,19.98
2023.0,連江縣,19.75
2024.0,連江縣,20.68
,連江縣,
2016.0,連江縣,80.04
2017.0,連江縣,78.3
2018.0,連江縣,77.88
2019.0,連江縣,78.62
2020.0,連江縣,77.72
2021.0,連江縣,80.57
2022.0,連江縣,78.8
2023.0,連江縣,78.89
2024.0,連江縣,78.25
,連江縣,
2016.0,連江縣,1.79
2017.0,連江縣,1.92
2018.0,連江縣,2.12
2019.0,連江縣,2.01
2020.0,連江縣,1.58
2021.0,連江縣,1.31
2022.0,連江縣,1.22
2023.0,連江縣,1.37
2024.0,連江縣,1.07
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
,連江縣,
