年份,職業別,縣市,比例(%)
2018,工業,新北市,34.89
2019,工業,新北市,34.01
2020,工業,新北市,32.2
2021,工業,新北市,32.27
2022,工業,新北市,32.07
2023,工業,新北市,32
2024,工業,新北市,31.68
2018,工業,臺北市,18.81
2019,工業,臺北市,18.25
2020,工業,臺北市,18.63
2021,工業,臺北市,19.14
2022,工業,臺北市,19.1
2023,工業,臺北市,18.27
2024,工業,臺北市,18.28
2018,工業,桃園市,45.23
2019,工業,桃園市,44.23
2020,工業,桃園市,43.22
2021,工業,桃園市,42.8
2022,工業,桃園市,43.12
2023,工業,桃園市,43.36
2024,工業,桃園市,42.18
2018,工業,臺中市,39.48
2019,工業,臺中市,40.77
2020,工業,臺中市,40.63
2021,工業,臺中市,37.77
2022,工業,臺中市,38.05
2023,工業,臺中市,37.78
2024,工業,臺中市,38.86
2018,工業,臺南市,41.17
2019,工業,臺南市,41.58
2020,工業,臺南市,43.1
2021,工業,臺南市,44.36
2022,工業,臺南市,43.64
2023,工業,臺南市,42.76
2024,工業,臺南市,43.04
2018,工業,高雄市,35.8
2019,工業,高雄市,36.47
2020,工業,高雄市,36.98
2021,工業,高雄市,37.45
2022,工業,高雄市,36.4
2023,工業,高雄市,36.72
2024,工業,高雄市,35.99
2018,工業,宜蘭縣,31.52
2019,工業,宜蘭縣,30.81
2020,工業,宜蘭縣,32.51
2021,工業,宜蘭縣,33.72
2022,工業,宜蘭縣,32.24
2023,工業,宜蘭縣,31.64
2024,工業,宜蘭縣,29.37
2018,工業,新竹縣,51.18
2019,工業,新竹縣,49.41
2020,工業,新竹縣,47.41
2021,工業,新竹縣,50.3
2022,工業,新竹縣,53.52
2023,工業,新竹縣,52.27
2024,工業,新竹縣,53.91
2018,工業,苗栗縣,48.43
2019,工業,苗栗縣,46.43
2020,工業,苗栗縣,46.22
2021,工業,苗栗縣,47.65
2022,工業,苗栗縣,47.86
2023,工業,苗栗縣,44.81
2024,工業,苗栗縣,45.82
2018,工業,彰化縣,47.71
2019,工業,彰化縣,47.22
2020,工業,彰化縣,47
2021,工業,彰化縣,45.65
2022,工業,彰化縣,44.36
2023,工業,彰化縣,44.07
2024,工業,彰化縣,44.89
2018,工業,南投縣,29.14
2019,工業,南投縣,27.04
2020,工業,南投縣,26.97
2021,工業,南投縣,29.25
2022,工業,南投縣,27.27
2023,工業,南投縣,28.44
2024,工業,南投縣,27.45
2018,工業,雲林縣,32.3
2019,工業,雲林縣,34.46
2020,工業,雲林縣,34.91
2021,工業,雲林縣,34.5
2022,工業,雲林縣,32.94
2023,工業,雲林縣,33.1
2024,工業,雲林縣,32.84
2018,工業,嘉義縣,31.81
2019,工業,嘉義縣,32.61
2020,工業,嘉義縣,32.58
2021,工業,嘉義縣,30.73
2022,工業,嘉義縣,32.8
2023,工業,嘉義縣,32.13
2024,工業,嘉義縣,31.34
2018,工業,屏東縣,31.27
2019,工業,屏東縣,31.32
2020,工業,屏東縣,32.1
2021,工業,屏東縣,31.59
2022,工業,屏東縣,30.74
2023,工業,屏東縣,31.15
2024,工業,屏東縣,29.93
2018,工業,臺東縣,19.16
2019,工業,臺東縣,18.34
2020,工業,臺東縣,18.24
2021,工業,臺東縣,17.66
2022,工業,臺東縣,16.61
2023,工業,臺東縣,18.06
2024,工業,臺東縣,18.37
2018,工業,花蓮縣,22.37
2019,工業,花蓮縣,23.74
2020,工業,花蓮縣,23.74
2021,工業,花蓮縣,21.82
2022,工業,花蓮縣,21.68
2023,工業,花蓮縣,22.07
2024,工業,花蓮縣,21.98
2018,工業,澎湖縣,23.3
2019,工業,澎湖縣,21.35
2020,工業,澎湖縣,21.46
2021,工業,澎湖縣,22.76
2022,工業,澎湖縣,23.92
2023,工業,澎湖縣,24.92
2024,工業,澎湖縣,23.6
2018,工業,基隆市,27.77
2019,工業,基隆市,27.43
2020,工業,基隆市,28.28
2021,工業,基隆市,29.34
2022,工業,基隆市,30.3
2023,工業,基隆市,27.23
2024,工業,基隆市,26.12
2018,工業,新竹市,44.78
2019,工業,新竹市,43.97
2020,工業,新竹市,41.88
2021,工業,新竹市,42.63
2022,工業,新竹市,45.69
2023,工業,新竹市,43.9
2024,工業,新竹市,43.23
2018,工業,嘉義市,26.46
2019,工業,嘉義市,26.77
2020,工業,嘉義市,26.33
2021,工業,嘉義市,29.02
2022,工業,嘉義市,28.56
2023,工業,嘉義市,27.17
2024,工業,嘉義市,26.66
2018,工業,金門縣,23.12
2019,工業,金門縣,24.08
2020,工業,金門縣,26.9
2021,工業,金門縣,23.87
2022,工業,金門縣,24.55
2023,工業,金門縣,24.43
2024,工業,金門縣,25.42
2018,工業,連江縣,20
2019,工業,連江縣,19.37
2020,工業,連江縣,20.7
2021,工業,連江縣,18.12
2022,工業,連江縣,19.98
2023,工業,連江縣,19.75
2024,工業,連江縣,20.68
2018,服務業,新北市,64.5
2019,服務業,新北市,65.25
2020,服務業,新北市,67.19
2021,服務業,新北市,67.28
2022,服務業,新北市,67.47
2023,服務業,新北市,67.44
2024,服務業,新北市,67.8
2018,服務業,臺北市,81.02
2019,服務業,臺北市,81.62
2020,服務業,臺北市,81.27
2021,服務業,臺北市,80.71
2022,服務業,臺北市,80.7
2023,服務業,臺北市,81.48
2024,服務業,臺北市,81.52
2018,服務業,桃園市,53.72
2019,服務業,桃園市,54.82
2020,服務業,桃園市,55.68
2021,服務業,桃園市,56.1
2022,服務業,桃園市,55.85
2023,服務業,桃園市,55.41
2024,服務業,桃園市,56.89
2018,服務業,臺中市,57.28
2019,服務業,臺中市,56.12
2020,服務業,臺中市,56.82
2021,服務業,臺中市,59.26
2022,服務業,臺中市,59.34
2023,服務業,臺中市,59.67
2024,服務業,臺中市,58.87
2018,服務業,臺南市,51.6
2019,服務業,臺南市,51.46
2020,服務業,臺南市,50.15
2021,服務業,臺南市,48.98
2022,服務業,臺南市,49.59
2023,服務業,臺南市,50.99
2024,服務業,臺南市,50.6
2018,服務業,高雄市,60.57
2019,服務業,高雄市,60.28
2020,服務業,高雄市,59.52
2021,服務業,高雄市,59.2
2022,服務業,高雄市,60.49
2023,服務業,高雄市,60.14
2024,服務業,高雄市,61.4
2018,服務業,宜蘭縣,62.25
2019,服務業,宜蘭縣,64.22
2020,服務業,宜蘭縣,62.36
2021,服務業,宜蘭縣,60.78
2022,服務業,宜蘭縣,62.2
2023,服務業,宜蘭縣,63.37
2024,服務業,宜蘭縣,65.89
2018,服務業,新竹縣,46.36
2019,服務業,新竹縣,48
2020,服務業,新竹縣,49.9
2021,服務業,新竹縣,47.45
2022,服務業,新竹縣,43.88
2023,服務業,新竹縣,45.29
2024,服務業,新竹縣,43.97
2018,服務業,苗栗縣,46.58
2019,服務業,苗栗縣,47.62
2020,服務業,苗栗縣,46.91
2021,服務業,苗栗縣,46.29
2022,服務業,苗栗縣,46.76
2023,服務業,苗栗縣,49.38
2024,服務業,苗栗縣,48.81
2018,服務業,彰化縣,43.85
2019,服務業,彰化縣,43.7
2020,服務業,彰化縣,43.19
2021,服務業,彰化縣,43.98
2022,服務業,彰化縣,46.23
2023,服務業,彰化縣,47.26
2024,服務業,彰化縣,46.61
2018,服務業,南投縣,52.33
2019,服務業,南投縣,54.35
2020,服務業,南投縣,53.97
2021,服務業,南投縣,52.43
2022,服務業,南投縣,54.27
2023,服務業,南投縣,55.04
2024,服務業,南投縣,55.15
2018,服務業,雲林縣,47.64
2019,服務業,雲林縣,45.9
2020,服務業,雲林縣,45.84
2021,服務業,雲林縣,45.09
2022,服務業,雲林縣,45.93
2023,服務業,雲林縣,47.02
2024,服務業,雲林縣,47.73
2018,服務業,嘉義縣,45.61
2019,服務業,嘉義縣,45.94
2020,服務業,嘉義縣,45.37
2021,服務業,嘉義縣,46.37
2022,服務業,嘉義縣,46.16
2023,服務業,嘉義縣,47.44
2024,服務業,嘉義縣,47.27
2018,服務業,屏東縣,52.26
2019,服務業,屏東縣,51.37
2020,服務業,屏東縣,51.53
2021,服務業,屏東縣,52.78
2022,服務業,屏東縣,53.57
2023,服務業,屏東縣,53.92
2024,服務業,屏東縣,55.43
2018,服務業,臺東縣,62.39
2019,服務業,臺東縣,62.89
2020,服務業,臺東縣,61.6
2021,服務業,臺東縣,62.09
2022,服務業,臺東縣,63.29
2023,服務業,臺東縣,66.48
2024,服務業,臺東縣,64.85
2018,服務業,花蓮縣,69.31
2019,服務業,花蓮縣,68.43
2020,服務業,花蓮縣,69.34
2021,服務業,花蓮縣,72.51
2022,服務業,花蓮縣,71.37
2023,服務業,花蓮縣,69.48
2024,服務業,花蓮縣,68.99
2018,服務業,澎湖縣,71.09
2019,服務業,澎湖縣,71.22
2020,服務業,澎湖縣,71.42
2021,服務業,澎湖縣,70.27
2022,服務業,澎湖縣,69.6
2023,服務業,澎湖縣,68.86
2024,服務業,澎湖縣,70.32
2018,服務業,基隆市,71.62
2019,服務業,基隆市,71.73
2020,服務業,基隆市,71.34
2021,服務業,基隆市,70.26
2022,服務業,基隆市,69.15
2023,服務業,基隆市,72.23
2024,服務業,基隆市,73.25
2018,服務業,新竹市,54.92
2019,服務業,新竹市,55.42
2020,服務業,新竹市,57.64
2021,服務業,新竹市,56.9
2022,服務業,新竹市,54.01
2023,服務業,新竹市,55.89
2024,服務業,新竹市,56.51
2018,服務業,嘉義市,72
2019,服務業,嘉義市,71.11
2020,服務業,嘉義市,71.46
2021,服務業,嘉義市,69.23
2022,服務業,嘉義市,69.67
2023,服務業,嘉義市,70.93
2024,服務業,嘉義市,71.51
2018,服務業,金門縣,72.63
2019,服務業,金門縣,72.42
2020,服務業,金門縣,70.1
2021,服務業,金門縣,73.31
2022,服務業,金門縣,72.3
2023,服務業,金門縣,73.11
2024,服務業,金門縣,72.12
2018,服務業,連江縣,77.88
2019,服務業,連江縣,78.62
2020,服務業,連江縣,77.72
2021,服務業,連江縣,80.57
2022,服務業,連江縣,78.8
2023,服務業,連江縣,78.89
2024,服務業,連江縣,78.25
2018,農林漁牧業,新北市,0.61
2019,農林漁牧業,新北市,0.74
2020,農林漁牧業,新北市,0.61
2021,農林漁牧業,新北市,0.45
2022,農林漁牧業,新北市,0.46
2023,農林漁牧業,新北市,0.56
2024,農林漁牧業,新北市,0.52
2018,農林漁牧業,臺北市,0.17
2019,農林漁牧業,臺北市,0.13
2020,農林漁牧業,臺北市,0.09
2021,農林漁牧業,臺北市,0.16
2022,農林漁牧業,臺北市,0.21
2023,農林漁牧業,臺北市,0.25
2024,農林漁牧業,臺北市,0.2
2018,農林漁牧業,桃園市,1.05
2019,農林漁牧業,桃園市,0.95
2020,農林漁牧業,桃園市,1.1
2021,農林漁牧業,桃園市,1.1
2022,農林漁牧業,桃園市,1.03
2023,農林漁牧業,桃園市,1.23
2024,農林漁牧業,桃園市,0.94
2018,農林漁牧業,臺中市,3.24
2019,農林漁牧業,臺中市,3.11
2020,農林漁牧業,臺中市,2.55
2021,農林漁牧業,臺中市,2.97
2022,農林漁牧業,臺中市,2.6
2023,農林漁牧業,臺中市,2.55
2024,農林漁牧業,臺中市,2.27
2018,農林漁牧業,臺南市,7.23
2019,農林漁牧業,臺南市,6.96
2020,農林漁牧業,臺南市,6.75
2021,農林漁牧業,臺南市,6.66
2022,農林漁牧業,臺南市,6.77
2023,農林漁牧業,臺南市,6.25
2024,農林漁牧業,臺南市,6.36
2018,農林漁牧業,高雄市,3.63
2019,農林漁牧業,高雄市,3.25
2020,農林漁牧業,高雄市,3.5
2021,農林漁牧業,高雄市,3.35
2022,農林漁牧業,高雄市,3.11
2023,農林漁牧業,高雄市,3.15
2024,農林漁牧業,高雄市,2.6
2018,農林漁牧業,宜蘭縣,6.22
2019,農林漁牧業,宜蘭縣,4.96
2020,農林漁牧業,宜蘭縣,5.13
2021,農林漁牧業,宜蘭縣,5.5
2022,農林漁牧業,宜蘭縣,5.55
2023,農林漁牧業,宜蘭縣,5
2024,農林漁牧業,宜蘭縣,4.75
2018,農林漁牧業,新竹縣,2.46
2019,農林漁牧業,新竹縣,2.59
2020,農林漁牧業,新竹縣,2.69
2021,農林漁牧業,新竹縣,2.26
2022,農林漁牧業,新竹縣,2.6
2023,農林漁牧業,新竹縣,2.44
2024,農林漁牧業,新竹縣,2.13
2018,農林漁牧業,苗栗縣,4.99
2019,農林漁牧業,苗栗縣,5.95
2020,農林漁牧業,苗栗縣,6.87
2021,農林漁牧業,苗栗縣,6.06
2022,農林漁牧業,苗栗縣,5.38
2023,農林漁牧業,苗栗縣,5.81
2024,農林漁牧業,苗栗縣,5.37
2018,農林漁牧業,彰化縣,8.44
2019,農林漁牧業,彰化縣,9.08
2020,農林漁牧業,彰化縣,9.81
2021,農林漁牧業,彰化縣,10.37
2022,農林漁牧業,彰化縣,9.41
2023,農林漁牧業,彰化縣,8.67
2024,農林漁牧業,彰化縣,8.5
2018,農林漁牧業,南投縣,18.53
2019,農林漁牧業,南投縣,18.62
2020,農林漁牧業,南投縣,19.07
2021,農林漁牧業,南投縣,18.32
2022,農林漁牧業,南投縣,18.47
2023,農林漁牧業,南投縣,16.51
2024,農林漁牧業,南投縣,17.4
2018,農林漁牧業,雲林縣,20.06
2019,農林漁牧業,雲林縣,19.64
2020,農林漁牧業,雲林縣,19.25
2021,農林漁牧業,雲林縣,20.41
2022,農林漁牧業,雲林縣,21.12
2023,農林漁牧業,雲林縣,19.88
2024,農林漁牧業,雲林縣,19.43
2018,農林漁牧業,嘉義縣,22.57
2019,農林漁牧業,嘉義縣,21.45
2020,農林漁牧業,嘉義縣,22.05
2021,農林漁牧業,嘉義縣,22.9
2022,農林漁牧業,嘉義縣,21.04
2023,農林漁牧業,嘉義縣,20.43
2024,農林漁牧業,嘉義縣,21.39
2018,農林漁牧業,屏東縣,16.47
2019,農林漁牧業,屏東縣,17.31
2020,農林漁牧業,屏東縣,16.37
2021,農林漁牧業,屏東縣,15.63
2022,農林漁牧業,屏東縣,15.69
2023,農林漁牧業,屏東縣,14.93
2024,農林漁牧業,屏東縣,14.63
2018,農林漁牧業,臺東縣,18.46
2019,農林漁牧業,臺東縣,18.77
2020,農林漁牧業,臺東縣,20.15
2021,農林漁牧業,臺東縣,20.25
2022,農林漁牧業,臺東縣,20.11
2023,農林漁牧業,臺東縣,15.46
2024,農林漁牧業,臺東縣,16.78
2018,農林漁牧業,花蓮縣,8.32
2019,農林漁牧業,花蓮縣,7.83
2020,農林漁牧業,花蓮縣,6.92
2021,農林漁牧業,花蓮縣,5.67
2022,農林漁牧業,花蓮縣,6.95
2023,農林漁牧業,花蓮縣,8.45
2024,農林漁牧業,花蓮縣,9.02
2018,農林漁牧業,澎湖縣,5.61
2019,農林漁牧業,澎湖縣,7.43
2020,農林漁牧業,澎湖縣,7.12
2021,農林漁牧業,澎湖縣,6.97
2022,農林漁牧業,澎湖縣,6.48
2023,農林漁牧業,澎湖縣,6.22
2024,農林漁牧業,澎湖縣,6.07
2018,農林漁牧業,基隆市,0.61
2019,農林漁牧業,基隆市,0.84
2020,農林漁牧業,基隆市,0.38
2021,農林漁牧業,基隆市,0.39
2022,農林漁牧業,基隆市,0.55
2023,農林漁牧業,基隆市,0.54
2024,農林漁牧業,基隆市,0.62
2018,農林漁牧業,新竹市,0.3
2019,農林漁牧業,新竹市,0.61
2020,農林漁牧業,新竹市,0.48
2021,農林漁牧業,新竹市,0.47
2022,農林漁牧業,新竹市,0.3
2023,農林漁牧業,新竹市,0.21
2024,農林漁牧業,新竹市,0.26
2018,農林漁牧業,嘉義市,1.55
2019,農林漁牧業,嘉義市,2.11
2020,農林漁牧業,嘉義市,2.2
2021,農林漁牧業,嘉義市,1.75
2022,農林漁牧業,嘉義市,1.77
2023,農林漁牧業,嘉義市,1.9
2024,農林漁牧業,嘉義市,1.83
2018,農林漁牧業,金門縣,4.25
2019,農林漁牧業,金門縣,3.51
2020,農林漁牧業,金門縣,2.99
2021,農林漁牧業,金門縣,2.82
2022,農林漁牧業,金門縣,3.15
2023,農林漁牧業,金門縣,2.46
2024,農林漁牧業,金門縣,2.46
2018,農林漁牧業,連江縣,2.12
2019,農林漁牧業,連江縣,2.01
2020,農林漁牧業,連江縣,1.58
2021,農林漁牧業,連江縣,1.31
2022,農林漁牧業,連江縣,1.22
2023,農林漁牧業,連江縣,1.37
2024,農林漁牧業,連江縣,1.07
